cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Rio de Janeiro,Abolição,apartamento,venda,3648.6,3121.3,4327.2,75,7.14,setembro/2026
Rio de Janeiro,Abolição,apartamento,aluguel,21.7,19.7,24.9,15,7.14,setembro/2026
Rio de Janeiro,Água Santa,apartamento,venda,3470.0,2600.7,5027.8,64,7.4,setembro/2026
Rio de Janeiro,Água Santa,apartamento,aluguel,21.4,16.7,22.7,5,7.4,setembro/2026
Rio de Janeiro,Alto da Boa Vista,apartamento,venda,5508.5,4666.7,7615.4,29,,setembro/2026
Rio de Janeiro,Anchieta,apartamento,venda,2600.0,2025.1,3250.0,47,,setembro/2026
Rio de Janeiro,Andaraí,apartamento,venda,5164.8,4330.7,6166.7,125,6.83,setembro/2026
Rio de Janeiro,Andaraí,apartamento,aluguel,29.4,27.8,35.3,24,6.83,setembro/2026
Rio de Janeiro,Anil,apartamento,venda,5200.0,4245.2,6405.1,75,8.1,setembro/2026
Rio de Janeiro,Anil,apartamento,aluguel,35.1,26.0,50.0,61,8.1,setembro/2026
Rio de Janeiro,Bancários,apartamento,venda,4330.4,3649.5,4774.0,60,,setembro/2026
Rio de Janeiro,Bangu,apartamento,venda,3255.8,2221.8,4000.0,45,8.33,setembro/2026
Rio de Janeiro,Bangu,apartamento,aluguel,22.6,18.3,25.0,18,8.33,setembro/2026
Rio de Janeiro,Barra da Tijuca,apartamento,venda,13946.1,11078.8,17727.3,558,6.22,setembro/2026
Rio de Janeiro,Barra da Tijuca,apartamento,aluguel,72.3,56.0,91.5,309,6.22,setembro/2026
Rio de Janeiro,Barra Olímpica,apartamento,venda,9640.5,8330.4,11046.7,160,7.41,setembro/2026
Rio de Janeiro,Barra Olímpica,apartamento,aluguel,59.5,50.0,70.5,126,7.41,setembro/2026
Rio de Janeiro,Benfica,apartamento,venda,3670.8,3071.8,5288.3,55,11.51,setembro/2026
Rio de Janeiro,Benfica,apartamento,aluguel,35.2,24.1,44.5,6,11.51,setembro/2026
Rio de Janeiro,Bento Ribeiro,apartamento,venda,3283.5,2706.7,4216.3,48,7.02,setembro/2026
Rio de Janeiro,Bento Ribeiro,apartamento,aluguel,19.2,16.7,22.9,17,7.02,setembro/2026
Rio de Janeiro,Bonsucesso,apartamento,venda,4963.8,3786.8,6145.6,60,5.68,setembro/2026
Rio de Janeiro,Bonsucesso,apartamento,aluguel,23.5,19.4,35.1,24,5.68,setembro/2026
Rio de Janeiro,Botafogo,apartamento,venda,13166.7,10766.7,16028.3,210,7.23,setembro/2026
Rio de Janeiro,Botafogo,apartamento,aluguel,79.3,65.3,101.5,76,7.23,setembro/2026
Rio de Janeiro,Brás de Pina,apartamento,venda,2600.0,2113.0,3867.5,35,9.42,setembro/2026
Rio de Janeiro,Brás de Pina,apartamento,aluguel,20.4,18.1,23.8,22,9.42,setembro/2026
Rio de Janeiro,Braz de Pina,apartamento,venda,3174.6,2166.7,4111.1,45,8.16,setembro/2026
Rio de Janeiro,Braz de Pina,apartamento,aluguel,21.6,19.2,23.3,10,8.16,setembro/2026
Rio de Janeiro,Cachambi,apartamento,venda,5096.5,4018.5,6917.4,110,7.02,setembro/2026
Rio de Janeiro,Cachambi,apartamento,aluguel,29.8,21.1,43.9,34,7.02,setembro/2026
Rio de Janeiro,Cacuia,apartamento,venda,5182.1,4041.3,5874.9,36,,setembro/2026
Rio de Janeiro,Caju,apartamento,venda,4166.7,3735.6,4571.4,5,,setembro/2026
Rio de Janeiro,Camorim,apartamento,venda,7460.0,5903.5,9460.2,114,8.8,setembro/2026
Rio de Janeiro,Camorim,apartamento,aluguel,54.7,40.3,58.9,29,8.8,setembro/2026
Rio de Janeiro,Campinho,apartamento,venda,3097.8,2620.3,3979.6,73,6.35,setembro/2026
Rio de Janeiro,Campinho,apartamento,aluguel,16.4,13.8,22.3,28,6.35,setembro/2026
Rio de Janeiro,Campo dos Afonsos,apartamento,venda,6245.3,5260.0,6509.4,5,,setembro/2026
Rio de Janeiro,Campo Grande,apartamento,venda,3909.1,2986.1,5737.7,101,6.14,setembro/2026
Rio de Janeiro,Campo Grande,apartamento,aluguel,20.0,15.5,26.3,109,6.14,setembro/2026
Rio de Janeiro,Cascadura,apartamento,venda,3500.0,2760.2,4067.8,63,6.38,setembro/2026
Rio de Janeiro,Cascadura,apartamento,aluguel,18.6,14.3,23.0,37,6.38,setembro/2026
Rio de Janeiro,Catete,apartamento,venda,11250.0,9500.0,13809.5,89,6.75,setembro/2026
Rio de Janeiro,Catete,apartamento,aluguel,63.3,52.8,84.1,23,6.75,setembro/2026
Rio de Janeiro,Catumbi,apartamento,venda,4447.8,3773.6,4868.4,25,,setembro/2026
Rio de Janeiro,Cavalcanti,apartamento,venda,2604.2,1643.8,3421.1,41,,setembro/2026
Rio de Janeiro,Centro,apartamento,venda,7826.1,6000.0,10415.6,131,10.15,setembro/2026
Rio de Janeiro,Centro,apartamento,aluguel,66.2,42.7,91.2,96,10.15,setembro/2026
Rio de Janeiro,Cidade de Deus,apartamento,venda,3043.5,1270.8,3685.2,5,,setembro/2026
Rio de Janeiro,Cidade Jardim,apartamento,venda,10103.1,9677.1,11046.5,9,,setembro/2026
Rio de Janeiro,Cidade Nova,apartamento,venda,6583.3,5571.4,8750.0,37,,setembro/2026
Rio de Janeiro,Cocotá,apartamento,venda,4210.5,3700.0,4807.7,69,,setembro/2026
Rio de Janeiro,Coelho Neto,apartamento,venda,2450.0,1798.7,3671.1,52,,setembro/2026
Rio de Janeiro,Colégio,apartamento,venda,4130.4,2750.1,5357.1,65,,setembro/2026
Rio de Janeiro,Copacabana,apartamento,venda,12136.1,8987.4,16328.9,474,7.52,setembro/2026
Rio de Janeiro,Copacabana,apartamento,aluguel,76.1,58.0,100.0,169,7.52,setembro/2026
Rio de Janeiro,Cordovil,apartamento,venda,3072.4,2205.6,3638.2,70,7.66,setembro/2026
Rio de Janeiro,Cordovil,apartamento,aluguel,19.6,17.3,21.1,10,7.66,setembro/2026
Rio de Janeiro,Cosme Velho,apartamento,venda,10293.5,9035.7,11637.6,56,,setembro/2026
Rio de Janeiro,Cosmos,apartamento,venda,2529.1,2030.2,3372.1,56,7.69,setembro/2026
Rio de Janeiro,Cosmos,apartamento,aluguel,16.2,14.2,18.3,42,7.69,setembro/2026
Rio de Janeiro,Curicica,apartamento,venda,5601.5,4222.2,7313.4,73,6.04,setembro/2026
Rio de Janeiro,Curicica,apartamento,aluguel,28.2,20.9,34.5,33,6.04,setembro/2026
Rio de Janeiro,Del Castilho,apartamento,venda,5848.0,4200.9,7101.1,94,7.41,setembro/2026
Rio de Janeiro,Del Castilho,apartamento,aluguel,36.1,22.0,51.7,21,7.41,setembro/2026
Rio de Janeiro,Deodoro,apartamento,aluguel,25.8,21.8,27.7,5,,setembro/2026
Rio de Janeiro,Encantado,apartamento,venda,4347.8,3409.1,5341.3,73,5.66,setembro/2026
Rio de Janeiro,Encantado,apartamento,aluguel,20.5,15.8,33.0,17,5.66,setembro/2026
Rio de Janeiro,Engenheiro Leal,apartamento,venda,2368.4,2009.0,2987.0,27,,setembro/2026
Rio de Janeiro,Engenho da Rainha,apartamento,venda,3520.8,2751.3,4288.8,62,,setembro/2026
Rio de Janeiro,Engenho de Dentro,apartamento,venda,3878.3,3206.5,4980.8,82,8.32,setembro/2026
Rio de Janeiro,Engenho de Dentro,apartamento,aluguel,26.9,20.6,30.4,26,8.32,setembro/2026
Rio de Janeiro,Engenho Novo,apartamento,venda,3453.8,2862.1,4166.7,77,8.86,setembro/2026
Rio de Janeiro,Engenho Novo,apartamento,aluguel,25.5,20.0,31.7,53,8.86,setembro/2026
Rio de Janeiro,Estácio,apartamento,venda,5000.0,4154.4,5620.5,44,8.76,setembro/2026
Rio de Janeiro,Estácio,apartamento,aluguel,36.5,31.2,43.3,6,8.76,setembro/2026
Rio de Janeiro,Flamengo,apartamento,venda,12270.1,9695.4,16211.6,179,6.63,setembro/2026
Rio de Janeiro,Flamengo,apartamento,aluguel,67.8,51.3,88.3,90,6.63,setembro/2026
Rio de Janeiro,Freguesia (Ilha do Governador),apartamento,venda,4444.4,3918.9,5250.0,29,8.56,setembro/2026
Rio de Janeiro,Freguesia (Ilha do Governador),apartamento,aluguel,31.7,25.8,41.7,43,8.56,setembro/2026
Rio de Janeiro,Freguesia (Jacarepaguá),apartamento,venda,5396.8,4524.9,6891.9,257,6.69,setembro/2026
Rio de Janeiro,Freguesia (Jacarepaguá),apartamento,aluguel,30.1,24.0,37.5,40,6.69,setembro/2026
Rio de Janeiro,Gamboa,apartamento,venda,8643.3,5867.3,10271.1,36,,setembro/2026
Rio de Janeiro,Gardênia Azul,apartamento,venda,3636.4,2575.6,5093.6,37,,setembro/2026
Rio de Janeiro,Gávea,apartamento,venda,16439.9,12277.6,20104.2,112,6.02,setembro/2026
Rio de Janeiro,Gávea,apartamento,aluguel,82.5,76.6,101.5,16,6.02,setembro/2026
Rio de Janeiro,Glória,apartamento,venda,18804.4,10383.5,23785.7,48,5.72,setembro/2026
Rio de Janeiro,Glória,apartamento,aluguel,89.6,66.1,108.3,24,5.72,setembro/2026
Rio de Janeiro,Grajaú,apartamento,venda,5572.2,4559.0,6683.1,128,7.3,setembro/2026
Rio de Janeiro,Grajaú,apartamento,aluguel,33.9,25.2,38.0,31,7.3,setembro/2026
Rio de Janeiro,Guadalupe,apartamento,venda,2398.1,1879.7,3513.9,80,9.31,setembro/2026
Rio de Janeiro,Guadalupe,apartamento,aluguel,18.6,16.2,20.8,7,9.31,setembro/2026
Rio de Janeiro,Guaratiba,apartamento,venda,3139.5,2957.3,3707.1,23,6.8,setembro/2026
Rio de Janeiro,Guaratiba,apartamento,aluguel,17.8,14.7,19.7,18,6.8,setembro/2026
Rio de Janeiro,Higienópolis,apartamento,venda,3689.9,3102.8,4207.1,34,8.29,setembro/2026
Rio de Janeiro,Higienópolis,apartamento,aluguel,25.5,22.0,28.0,5,8.29,setembro/2026
Rio de Janeiro,Honório Gurgel,apartamento,venda,2750.0,1974.2,3179.9,50,,setembro/2026
Rio de Janeiro,Humaitá,apartamento,venda,13127.0,11282.2,15094.1,120,5.81,setembro/2026
Rio de Janeiro,Humaitá,apartamento,aluguel,63.6,55.1,75.0,21,5.81,setembro/2026
Rio de Janeiro,Ilha do Governador,apartamento,venda,4679.9,3847.0,5078.1,8,,setembro/2026
Rio de Janeiro,Inhaúma,apartamento,venda,3723.4,3115.3,5241.1,75,5.58,setembro/2026
Rio de Janeiro,Inhaúma,apartamento,aluguel,17.3,16.9,17.5,5,5.58,setembro/2026
Rio de Janeiro,Inhoaíba,apartamento,venda,2769.3,1784.1,3817.5,62,7.89,setembro/2026
Rio de Janeiro,Inhoaíba,apartamento,aluguel,18.2,16.7,22.4,7,7.89,setembro/2026
Rio de Janeiro,Ipanema,apartamento,venda,21818.2,17928.6,25143.4,155,5.5,setembro/2026
Rio de Janeiro,Ipanema,apartamento,aluguel,100.0,87.0,126.1,81,5.5,setembro/2026
Rio de Janeiro,Irajá,apartamento,venda,3731.3,3285.7,5445.5,25,7.72,setembro/2026
Rio de Janeiro,Irajá,apartamento,aluguel,24.0,20.0,37.5,77,7.72,setembro/2026
Rio de Janeiro,Itanhangá,apartamento,venda,4365.1,3596.6,5417.6,22,8.25,setembro/2026
Rio de Janeiro,Itanhangá,apartamento,aluguel,30.0,24.2,32.7,7,8.25,setembro/2026
Rio de Janeiro,Jacaré,apartamento,venda,2650.0,2386.4,4186.5,11,,setembro/2026
Rio de Janeiro,Jacarepaguá,apartamento,venda,8336.4,6477.6,10614.4,90,6.88,setembro/2026
Rio de Janeiro,Jacarepaguá,apartamento,aluguel,47.8,38.7,59.4,85,6.88,setembro/2026
Rio de Janeiro,Jardim América,apartamento,venda,2836.4,2304.2,3333.8,58,8.0,setembro/2026
Rio de Janeiro,Jardim América,apartamento,aluguel,18.9,15.1,21.4,11,8.0,setembro/2026
Rio de Janeiro,Jardim Botânico,apartamento,venda,16091.1,13994.6,18235.3,136,6.03,setembro/2026
Rio de Janeiro,Jardim Botânico,apartamento,aluguel,80.9,69.1,98.1,22,6.03,setembro/2026
Rio de Janeiro,Jardim Carioca,apartamento,venda,5172.4,3888.5,6353.5,67,,setembro/2026
Rio de Janeiro,Jardim Guanabara,apartamento,venda,5955.7,5215.5,7305.7,87,6.63,setembro/2026
Rio de Janeiro,Jardim Guanabara,apartamento,aluguel,32.9,27.8,37.9,27,6.63,setembro/2026
Rio de Janeiro,Jardim Oceânico,apartamento,venda,12222.2,9963.7,13915.2,39,,setembro/2026
Rio de Janeiro,Jardim Sulacap,apartamento,venda,4244.3,3929.0,4814.1,40,,setembro/2026
Rio de Janeiro,Joá,apartamento,venda,13168.7,12836.2,14144.7,9,,setembro/2026
Rio de Janeiro,Lagoa,apartamento,venda,16240.3,14094.9,19046.9,168,6.63,setembro/2026
Rio de Janeiro,Lagoa,apartamento,aluguel,89.7,66.7,99.6,53,6.63,setembro/2026
Rio de Janeiro,Lapa,apartamento,venda,9000.0,7321.4,11710.5,57,8.77,setembro/2026
Rio de Janeiro,Lapa,apartamento,aluguel,65.8,55.2,81.1,15,8.77,setembro/2026
Rio de Janeiro,Laranjeiras,apartamento,venda,11550.0,9596.0,14150.9,145,6.62,setembro/2026
Rio de Janeiro,Laranjeiras,apartamento,aluguel,63.7,49.1,76.1,29,6.62,setembro/2026
Rio de Janeiro,Leblon,apartamento,venda,22500.0,18617.0,25600.0,157,5.78,setembro/2026
Rio de Janeiro,Leblon,apartamento,aluguel,108.3,93.8,125.0,73,5.78,setembro/2026
Rio de Janeiro,Leme,apartamento,venda,12905.5,10656.2,16433.0,132,7.13,setembro/2026
Rio de Janeiro,Leme,apartamento,aluguel,76.7,70.2,93.3,13,7.13,setembro/2026
Rio de Janeiro,Lins de Vasconcelos,apartamento,venda,3333.3,2846.2,3888.9,73,,setembro/2026
Rio de Janeiro,Madureira,apartamento,venda,3612.5,2876.9,4390.9,70,5.71,setembro/2026
Rio de Janeiro,Madureira,apartamento,aluguel,17.2,14.0,20.6,52,5.71,setembro/2026
Rio de Janeiro,Magalhães Bastos,apartamento,venda,3253.2,3128.0,3921.4,8,,setembro/2026
Rio de Janeiro,Manguinhos,apartamento,venda,2966.7,2861.7,4083.3,6,,setembro/2026
Rio de Janeiro,Maracanã,apartamento,venda,5964.3,4837.5,7641.8,140,8.47,setembro/2026
Rio de Janeiro,Maracanã,apartamento,aluguel,42.1,30.0,46.6,37,8.47,setembro/2026
Rio de Janeiro,Marechal Hermes,apartamento,venda,3750.0,2735.8,4531.2,54,,setembro/2026
Rio de Janeiro,Maria da Graça,apartamento,venda,3964.3,3472.3,5574.9,64,,setembro/2026
Rio de Janeiro,Méier,apartamento,venda,4717.0,3753.4,6087.5,91,6.41,setembro/2026
Rio de Janeiro,Méier,apartamento,aluguel,25.2,19.3,30.0,33,6.41,setembro/2026
Rio de Janeiro,Moneró,apartamento,venda,5034.2,4603.0,5783.8,74,,setembro/2026
Rio de Janeiro,Olaria,apartamento,venda,3546.9,2859.1,4000.0,36,6.97,setembro/2026
Rio de Janeiro,Olaria,apartamento,aluguel,20.6,17.8,22.7,27,6.97,setembro/2026
Rio de Janeiro,Oswaldo Cruz,apartamento,venda,3207.1,2555.6,3780.8,32,6.88,setembro/2026
Rio de Janeiro,Oswaldo Cruz,apartamento,aluguel,18.4,15.9,21.7,18,6.88,setembro/2026
Rio de Janeiro,Paciência,apartamento,venda,1999.9,1556.5,2586.5,75,8.94,setembro/2026
Rio de Janeiro,Paciência,apartamento,aluguel,14.9,13.7,17.0,30,8.94,setembro/2026
Rio de Janeiro,Padre Miguel,apartamento,venda,2857.1,1927.0,3637.5,71,8.57,setembro/2026
Rio de Janeiro,Padre Miguel,apartamento,aluguel,20.4,19.0,23.2,6,8.57,setembro/2026
Rio de Janeiro,Paquetá,apartamento,venda,7019.2,5197.1,7839.4,11,,setembro/2026
Rio de Janeiro,Parada de Lucas,apartamento,venda,3400.0,2483.3,4065.1,59,8.54,setembro/2026
Rio de Janeiro,Parada de Lucas,apartamento,aluguel,24.2,22.5,27.5,5,8.54,setembro/2026
Rio de Janeiro,Parque Anchieta,apartamento,venda,3903.6,3500.0,4246.7,10,6.12,setembro/2026
Rio de Janeiro,Parque Anchieta,apartamento,aluguel,19.9,16.7,20.7,10,6.12,setembro/2026
Rio de Janeiro,Parque Colúmbia,apartamento,venda,2543.8,2242.2,2794.5,12,,setembro/2026
Rio de Janeiro,Pavuna,apartamento,venda,2103.4,1633.3,3036.2,82,10.73,setembro/2026
Rio de Janeiro,Pavuna,apartamento,aluguel,18.8,17.3,20.4,5,10.73,setembro/2026
Rio de Janeiro,Pechincha,apartamento,venda,4395.3,3705.9,5208.3,137,7.73,setembro/2026
Rio de Janeiro,Pechincha,apartamento,aluguel,28.3,22.5,31.3,42,7.73,setembro/2026
Rio de Janeiro,Pedra de Guaratiba,apartamento,venda,3261.2,3044.6,3537.3,8,,setembro/2026
Rio de Janeiro,Penha,apartamento,venda,4069.8,3021.4,4956.9,75,5.63,setembro/2026
Rio de Janeiro,Penha,apartamento,aluguel,19.1,16.5,27.3,16,5.63,setembro/2026
Rio de Janeiro,Penha Circular,apartamento,venda,3153.4,2525.7,3789.3,68,7.15,setembro/2026
Rio de Janeiro,Penha Circular,apartamento,aluguel,18.8,17.3,20.6,9,7.15,setembro/2026
Rio de Janeiro,Piedade,apartamento,venda,3571.4,3041.6,4810.4,39,8.06,setembro/2026
Rio de Janeiro,Piedade,apartamento,aluguel,24.0,21.1,31.7,33,8.06,setembro/2026
Rio de Janeiro,Pilares,apartamento,venda,4000.0,2872.0,6797.7,70,6.81,setembro/2026
Rio de Janeiro,Pilares,apartamento,aluguel,22.7,19.2,27.9,10,6.81,setembro/2026
Rio de Janeiro,Pitangueiras,apartamento,venda,4808.5,4259.7,5122.5,24,,setembro/2026
Rio de Janeiro,Portuguesa,apartamento,venda,5151.3,4639.9,5849.3,50,6.94,setembro/2026
Rio de Janeiro,Portuguesa,apartamento,aluguel,29.8,26.7,29.9,5,6.94,setembro/2026
Rio de Janeiro,Praça da Bandeira,apartamento,venda,6080.0,4478.9,7526.2,103,6.67,setembro/2026
Rio de Janeiro,Praça da Bandeira,apartamento,aluguel,33.8,30.2,44.8,12,6.67,setembro/2026
Rio de Janeiro,Praça Seca,apartamento,venda,2857.1,2314.6,3462.7,95,7.22,setembro/2026
Rio de Janeiro,Praça Seca,apartamento,aluguel,17.2,14.0,18.5,14,7.22,setembro/2026
Rio de Janeiro,Praia da Bandeira,apartamento,venda,5066.7,4396.6,5887.1,69,,setembro/2026
Rio de Janeiro,Quintino Bocaiúva,apartamento,venda,3333.3,2777.8,4000.0,57,,setembro/2026
Rio de Janeiro,Ramos,apartamento,venda,4200.0,3437.2,5259.4,71,6.14,setembro/2026
Rio de Janeiro,Ramos,apartamento,aluguel,21.5,20.3,23.7,14,6.14,setembro/2026
Rio de Janeiro,Realengo,apartamento,venda,3448.2,2948.9,3974.3,54,7.52,setembro/2026
Rio de Janeiro,Realengo,apartamento,aluguel,21.6,19.8,24.8,18,7.52,setembro/2026
Rio de Janeiro,Recreio dos Bandeirantes,apartamento,venda,7410.4,6107.7,8929.8,304,6.59,setembro/2026
Rio de Janeiro,Recreio dos Bandeirantes,apartamento,aluguel,40.7,31.7,53.4,212,6.59,setembro/2026
Rio de Janeiro,Riachuelo,apartamento,venda,3895.2,3239.0,5062.7,94,6.25,setembro/2026
Rio de Janeiro,Riachuelo,apartamento,aluguel,20.3,18.7,31.7,11,6.25,setembro/2026
Rio de Janeiro,Ribeira,apartamento,venda,5412.4,4712.2,7038.5,90,,setembro/2026
Rio de Janeiro,Rio 2,apartamento,venda,9078.9,8867.9,9564.1,7,,setembro/2026
Rio de Janeiro,Rio Comprido,apartamento,venda,5194.2,4122.2,6636.6,135,7.3,setembro/2026
Rio de Janeiro,Rio Comprido,apartamento,aluguel,31.6,25.0,46.4,26,7.3,setembro/2026
Rio de Janeiro,Rocha,apartamento,venda,3382.3,2711.2,4379.3,91,10.43,setembro/2026
Rio de Janeiro,Rocha,apartamento,aluguel,29.4,27.2,34.6,6,10.43,setembro/2026
Rio de Janeiro,Rocha Miranda,apartamento,venda,3372.1,2828.0,4169.6,63,,setembro/2026
Rio de Janeiro,Sampaio,apartamento,venda,3506.5,2959.9,4175.1,43,,setembro/2026
Rio de Janeiro,Santa Cruz,apartamento,venda,2857.1,2093.0,3404.8,53,7.39,setembro/2026
Rio de Janeiro,Santa Cruz,apartamento,aluguel,17.6,14.7,20.8,58,7.39,setembro/2026
Rio de Janeiro,Santa Teresa,apartamento,venda,6444.4,5190.3,8350.0,84,10.13,setembro/2026
Rio de Janeiro,Santa Teresa,apartamento,aluguel,54.4,39.8,75.3,19,10.13,setembro/2026
Rio de Janeiro,Santíssimo,apartamento,venda,2819.3,1875.5,3250.0,36,8.21,setembro/2026
Rio de Janeiro,Santíssimo,apartamento,aluguel,19.3,17.2,23.1,22,8.21,setembro/2026
Rio de Janeiro,Santo Cristo,apartamento,venda,11231.1,10000.0,12436.6,92,8.73,setembro/2026
Rio de Janeiro,Santo Cristo,apartamento,aluguel,81.7,72.4,97.4,38,8.73,setembro/2026
Rio de Janeiro,São Conrado,apartamento,venda,11445.8,9834.3,15153.1,83,7.36,setembro/2026
Rio de Janeiro,São Conrado,apartamento,aluguel,70.2,53.4,78.8,7,7.36,setembro/2026
Rio de Janeiro,São Cristóvão,apartamento,venda,6500.0,5000.0,8035.7,81,7.18,setembro/2026
Rio de Janeiro,São Cristóvão,apartamento,aluguel,38.9,32.1,58.3,34,7.18,setembro/2026
Rio de Janeiro,São Francisco Xavier,apartamento,venda,4164.5,3168.8,5530.3,46,9.05,setembro/2026
Rio de Janeiro,São Francisco Xavier,apartamento,aluguel,31.4,20.1,38.2,10,9.05,setembro/2026
Rio de Janeiro,Saúde,apartamento,venda,7371.7,5512.8,12202.0,36,,setembro/2026
